City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kokoda,-8.8785,147.7407,295.82,86,100,0.97,PG,1616097698
saint george,37.1041,-113.5841,292.59,47,1,2.57,US,1616097697
kavieng,-2.5744,150.7967,298.51,87,100,3.14,PG,1616097698
cape town,-33.9258,18.4232,292.59,68,20,4.63,ZA,1616097684
lebu,-37.6167,-73.65,288.99,74,11,3.65,CL,1616097699
busselton,-33.65,115.3333,290.93,84,80,0.89,AU,1616097699
san policarpo,12.1791,125.5072,300.41,78,50,2.84,PH,1616097700
chuy,-33.6971,-53.4616,293.15,59,69,4.68,UY,1616097700
hobart,-42.8794,147.3294,285.37,87,20,3.09,AU,1616097701
gbadolite,4.2833,21.0167,296.96,76,48,0.79,CD,1616097701
kiruna,67.8557,20.2251,259.15,78,0,2.06,SE,1616097701
hermanus,-34.4187,19.2345,292.04,84,58,0.89,ZA,1616097702
palmer,42.1584,-72.3287,279.82,100,90,4.12,US,1616097702
acari,-15.4311,-74.6158,300.48,59,10,5.0,PE,1616097703
punta arenas,-53.15,-70.9167,286.15,67,75,11.83,CL,1616097704
rikitea,-23.1203,-134.9692,299.72,77,95,8.07,PF,1616097704
pacific grove,36.6177,-121.9166,286.48,67,90,1.54,US,1616097545
dunedin,-45.8742,170.5036,285.93,76,55,2.64,NZ,1616097705
longyearbyen,78.2186,15.6401,272.15,86,90,5.66,SJ,1616097705
nortelandia,-14.4547,-56.8028,300.84,86,100,1.5,BR,1616097706
tanout,14.9709,8.8879,303.08,12,100,3.62,NE,1616097706
new norfolk,-42.7826,147.0587,285.37,77,0,1.0,AU,1616097707
sola,-13.8833,167.55,300.82,73,100,5.51,VU,1616097707
avarua,-21.2078,-159.775,301.15,74,20,7.2,CK,1616097708
jiujiang,29.7333,115.9833,285.28,87,100,4.72,CN,1616097708
albany,42.6001,-73.9662,278.15,88,100,0.89,US,1616097709
steamboat springs,40.485,-106.8317,279.82,42,1,1.96,US,1616097710
hami,42.8,93.45,272.57,33,83,6.44,CN,1616097710
severo-kurilsk,50.6789,156.125,271.91,90,65,4.84,RU,1616097711
harnai,30.1005,67.9374,292.13,20,16,1.02,PK,1616097711
ailigandi,9.2333,-78.0167,300.39,81,100,3.01,PA,1616097712
seddon,-37.8068,144.8916,288.15,94,0,2.06,AU,1616097712
hilo,19.7297,-155.09,294.26,83,90,4.12,US,1616097713
macrohon,10.0797,124.9431,299.67,78,2,4.65,PH,1616097713
sao joao da barra,-21.6403,-41.0511,302.15,61,0,8.23,BR,1616097714
emerald,-23.5333,148.1667,296.15,94,90,3.09,AU,1616097714
bluff,-46.6,168.3333,284.26,96,91,0.89,NZ,1616097715
huadian,42.9633,126.7478,272.97,57,2,1.49,CN,1616097715
narsaq,60.9167,-46.05,272.15,47,75,3.09,GL,1616097715
bredasdorp,-34.5322,20.0403,291.15,88,0,4.12,ZA,1616097716
chihuahua,28.5,-106.0,294.15,8,1,7.2,MX,1616097424
san patricio,28.017,-97.5169,297.15,19,1,7.2,US,1616097717
kapaa,22.0752,-159.319,294.26,83,90,12.35,US,1616097717
acapulco,16.8634,-99.8901,302.15,65,1,3.6,MX,1616097718
saint stephen,50.3333,-4.9,282.15,93,75,5.66,GB,1616097607
san rafael,-34.6177,-68.3301,289.03,56,85,2.16,AR,1616097719
dikson,73.5069,80.5464,245.21,99,100,2.93,RU,1616097719
tsaratanana,-16.7833,47.65,295.7,92,100,1.78,MG,1616097720
chimbote,-9.0853,-78.5783,298.21,65,16,5.32,PE,1616097720
dudinka,69.4058,86.1778,244.13,92,100,3.05,RU,1616097721
dali,25.7,100.1833,283.58,53,0,2.22,CN,1616097721
mataura,-46.1927,168.8643,284.26,96,84,0.89,NZ,1616097722
castro,-24.7911,-50.0119,297.85,61,0,2.27,BR,1616097722
dingle,10.9995,122.6711,298.11,91,24,2.98,PH,1616097723
puerto ayora,-0.7393,-90.3518,302.15,74,75,4.12,EC,1616097724
buriti alegre,-18.14,-49.0403,297.36,82,99,1.2,BR,1616097724
sulangan,11.1373,123.7228,300.71,78,14,5.71,PH,1616097725
santiago del estero,-27.7951,-64.2615,299.13,42,35,1.51,AR,1616097725
cabo san lucas,22.8909,-109.9124,301.15,49,1,5.66,MX,1616097464
victoria,22.2855,114.1577,297.04,88,98,3.33,HK,1616097431
black river,18.0264,-77.8487,301.15,74,40,11.32,JM,1616097726
saskylakh,71.9167,114.0833,243.51,91,100,3.81,RU,1616097727
nuuk,64.1835,-51.7216,269.15,50,75,7.72,GL,1616097728
tshikapa,-6.4167,20.8,296.91,77,8,0.41,CD,1616097728
san cristobal,7.7669,-72.225,303.15,62,40,6.17,VE,1616097729
bocas del toro,9.3333,-82.25,290.93,95,100,3.74,PA,1616097729
fortuna,40.5982,-124.1573,286.48,82,75,4.12,US,1616097730
namatanai,-3.6667,152.4333,299.67,75,76,2.41,PG,1616097730
adrar,20.5022,-10.0711,295.14,11,0,0.01,MR,1616097731
el monte,34.0686,-118.0276,294.82,48,1,1.54,US,1616097606
bengkulu,-3.8004,102.2655,296.79,93,100,4.11,ID,1616097732
umm kaddadah,13.6017,26.6876,302.89,14,99,5.55,SD,1616097732
avera,33.194,-82.5271,299.26,61,75,6.69,US,1616097733
betioky,-23.7167,44.3833,296.12,79,0,1.24,MG,1616097734
mibu,36.4167,139.8,285.93,57,75,2.57,JP,1616097734
atuona,-9.8,-139.0333,300.21,73,0,5.66,PF,1616097734
bulgan,48.8125,103.5347,263.73,89,82,0.96,MN,1616097603
chokurdakh,70.6333,147.9167,232.65,90,0,3.05,RU,1616097735
bridgetown,13.1,-59.6167,302.15,54,40,6.69,BB,1616097566
coquimbo,-29.9533,-71.3436,293.15,60,0,6.17,CL,1616097736
tasiilaq,65.6145,-37.6368,274.15,75,75,7.72,GL,1616097736
